"winlog_event_data_AccessList";"winlog_event_AccessList_Permission_Name"
"%%4417";"Create files/write data"
"%%4418";"Create folders/append data"
"%%1540";"Write/Change owner"
"%%4422";"Delete subfolders and files"
"%%1537";"Delete"
"%%1537 - %%1541 - %%4423";"Delete - Synchronize - Read Attributes"
"%%1541 - %%4417";"Synchronize - Create files/write data"
"%%1537 - %%1538 - %%1539 - %%1541 - %%4416 - %%4417 - %%4418 - %%4419 - %%4420 - %%4423 - %%4424";"Delete - Read control - Write DAC - Synchronize -  List folder/read data - Create files/write data - Create folders/append data - Read extended attributes - Write extended attributes - Read Attributes - Write Attributes"
"%%1537 - %%4423";"Delete - Read Attributes"
"%%1537 - %%1538 - %%1539 - %%1540 - %%1541 - %%4416 - %%4417 - %%4418 - %%4419 - %%4420 - %%4421 - %%4422 - %%4423 - %%4424";"Delete - Read control - Write DAC - Write/Change owner - Synchronize - List folder/read data - Create files/write data - Create folders/append data - Read extended attributes - Traverse folder/execute file - Delete subfolders and files - Read Attributes - Write Attributes"

"%%1537 - %%1538 - %%1539 - %%1540 - %%1541 - %%4416 - %%4417 - %%4418 - %%4419 - %%4420 - %%4423 - %%4424";"Delete - Read control - Write DAC - Write/Change owner - Synchronize - List folder/read data - Create files/write data - Create folders/append data - Read extended attributes - Write extended attributes - Read Attributes"
"%%1537 - %%1538 - %%1541 - %%4417 - %%4419 - %%4423";"Delete - Read control - Synchronize - Create files/write data - Read extended attributes - Read Attributes"
"%%1537 - %%1538 - %%1541 - %%4417 - %%4418 - %%4420 - %%4423 - %%4424";"Delete - Read control - Synchronize - Create files/write data - Create folders/append data - Write extended attributes - Write extended attributes - Read Attributes"
"%%1537 - %%1538 - %%1541 - %%4416 - %%4417 - %%4418 - %%4419 - %%4420 - %%4423 - %%4424";"Delete - Read control - Synchronize -  List folder/read data - Create files/write data - Create folders/append data - Read extended attributes - Write extended attributes - Read Attributes - Write Attributes"
"%%1538 - %%1541 - %%4416 - %%4417 - %%4418 - %%4419 - %%4420 - %%4423 - %%4424";"Read control - Synchronize - List folder/read data - Create files/write data - Create folders/append data - Read extended attributes - Write extended attributes - Read Attributes - Write Attributes"
"%%1538 - %%1541 - %%4416 - %%4419 - %%4421 - %%4423";"Read control - Synchronize - List folder/read data - Read extended attributes - Traverse folder/execute file - Read Attributes"
"%%1538 - %%1541 - %%4416 - %%4419 - %%4423";"Read control - Synchronize - List folder/read data - Read extended attributes - Traverse folder/execute file - Read Attributes"
"%%1538 - %%1541 - %%4417 - %%4418 - %%4420 - %%4424";"Synchronize - Create files/write data - Create folders/append data - Write extended attributes - Write Attributes"
"%%1537 - %%1538 - %%1541 - %%4423";"Delete - Read control - Synchronize - Read Attributes"
"%%1537 - %%1541 - %%4416 - %%4423";"Delete - Synchronize - List folder/read data - Read Attributes"


"%%4417 - %%4418";"Create files/write data - Create folders/append data"
"%%1538";"Read control"
"%%1539";"Write DAC"
"%%1541";"Synchronize"
"%%1542";"Get/Set SACL"
"%%4419";"Read extended attributes"
"%%4420";"Write extended attributes"
"%%4416";"List folder/read data"
"%%4421";"Traverse folder/execute file"
"%%4423";"Read Attributes"
"%%4424";"Write Attributes"
"%%1541 - %%4423";"Synchronize - Read Attributes"
"%%1541 - %%4416";"Synchronize - List folder/read data"
"%%1541 - %%4416 - %%4423";"Synchronize - List folder/read data - Read Attributes"
"%%1541 - %%4416 - %%4421";"Synchronize - List folder/read data - Traverse folder/execute file"
"%%1538 - %%1541";"Read control - Synchronize"

